I think I would say to myself, having heard all of your experiences of being a female in computer
science and in tech subjects, I think I would say not to let that hold me back, not to let the fact that maybe I didn't have that representation hold me back from doing it myself.
I think maybe then I might have pursued it more at a younger age.
So yeah, just to not let anything, if you want to do something, to just go and do it. Don't wait for somebody to be there showing you how to, just go and do it.
Yeah, I think for myself, I would say try and get outside of my comfort zone a little bit.
I think I was quite scared to go to tech events and like network with companies, etc. because I felt like, oh, there aren't going to be many other women there.
But I think it's important to get involved in those kind of things, but also go to like women in tech events and panels such as this or doing like recruitment events.
events because I think people who are then joining university other girls like you can see like a role model and it will like probably encourage them to go into tech a bit more as well.
I think one of the things I learned, particularly over year 13 doing A levels, which I've tried to bring over to university, is to be the first one to admit not to know something.
Because at least I've always felt like I should be ashamed or afraid to admit that there's things I can't do and things I want to learn how to do, but don't know how to yet.
So realising that basically everything, everyone feels that way about something was very important for me.
And knowing that if you step out of your comfort zone and admit I need help with this, others will reciprocate and it just creates a community, much warmer, more welcoming community where everyone exchanges ideas.
And it's just, it's a much healthier way to learn and live, I think.
Yeah, I think by the end of school, I was quite good at asking for help because, you know, you kind of know our teachers and the whole class for a really long time.
And then you kind of get to uni, it's a completely different environment, you're not entirely sure who you should ask for help.
So at first it was quite difficult to kind of, you know, ask for particular questions, even in the smaller groups.
But after about 10 weeks, we all know each other quite well now, so everyone's just like, I have no idea what's going on.
So I think that's really nice.
Just wanna be me!
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
I think that's really nice.
